DropQ_0_GROUP_1,DropQ_0_1_RANK,DropQ_1_GROUP_1,DropQ_0_GROUP_2,DropQ_0_2_RANK,DropQ_1_GROUP_2,DropQ_0_GROUP_3,DropQ_0_3_RANK,DropQ_1_GROUP_3,DropQ_0_GROUP_4,DropQ_0_4_RANK,DropQ_1_GROUP_4,DropQ_0_GROUP_5,DropQ_0_5_RANK,DropQ_1_GROUP_5,DropQ_0_GROUP_6,DropQ_0_6_RANK,DropQ_1_GROUP_6,DropQ_0_GROUP_7,DropQ_0_7_RANK,DropQ_1_GROUP_7,DropQ_0_GROUP_8,DropQ_0_8_RANK,DropQ_1_GROUP_8,DropQ_0_GROUP_9,DropQ_0_9_RANK,DropQ_1_GROUP_9,PushQ_0_GROUP_1,PushQ_0_1_RANK,PushQ_1_GROUP_1,PushQ_0_GROUP_2,PushQ_0_2_RANK,PushQ_1_GROUP_2,PushQ_0_GROUP_3,PushQ_0_3_RANK,PushQ_1_GROUP_3,PushQ_0_GROUP_4,PushQ_0_4_RANK,PushQ_1_GROUP_4,PushQ_0_GROUP_5,PushQ_0_5_RANK,PushQ_1_GROUP_5,PushQ_0_GROUP_6,PushQ_0_6_RANK,PushQ_1_GROUP_6,PushQ_0_GROUP_7,PushQ_0_7_RANK,PushQ_1_GROUP_7,PushQ_0_GROUP_8,PushQ_0_8_RANK,PushQ_1_GROUP_8,PushQ_0_GROUP_9,PushQ_0_9_RANK,PushQ_1_GROUP_9,PullQ_0_GROUP_1,PullQ_0_1_RANK,PullQ_1_GROUP_1,PullQ_0_GROUP_2,PullQ_0_2_RANK,PullQ_1_GROUP_2,PullQ_0_GROUP_3,PullQ_0_3_RANK,PullQ_1_GROUP_3,PullQ_0_GROUP_4,PullQ_0_4_RANK,PullQ_1_GROUP_4,PullQ_0_GROUP_5,PullQ_0_5_RANK,PullQ_1_GROUP_5,PullQ_0_GROUP_6,PullQ_0_6_RANK,PullQ_1_GROUP_6,PullQ_0_GROUP_7,PullQ_0_7_RANK,PullQ_1_GROUP_7,PullQ_0_GROUP_8,PullQ_0_8_RANK,PullQ_1_GROUP_8,PullQ_0_GROUP_9,PullQ_0_9_RANK,PullQ_1_GROUP_9,scene,condition,CATCH2,CATCH3,invalid,ATESTQ_0_2_RANK,ATESTQ_0_4_RANK,ATESTQ_0_5_RANK,ATESTQ_1_1_RANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,5.0,,A surface/table/floor,6.0,,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),3.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,To imagine something being pushed by other object,The color of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,The weight of the pushed thing,5.0,,The direction of movement of the pushed thing,1.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),6.0,,The color of the pushed thing,3.0,,The color of the other thing,7.0,,The apparent material of the pushed thing,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,Imagine a thing being pushed by another thing visualized within a box on the screen,Weight of pushed thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),6.0,,The size of the pulled thing,2.0,,The trajectory of the pulled thing,4.0,,A person who pulled the thing,3.0,,The type of the thing being pulled (e.g. what object was it?),5.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,1.0,,Pull,1000ms,hearing audio and imagining a scenario ,location of object being pulled,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,to imagine an item being dropped next to another item,The trajectory of the dropped item,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The weight of the pushed thing,2.0,,The direction of movement of the pushed thing,1.0,,A surface/table/floor,4.0,,The type of the thing being pushed (e.g. what object was it?),5.0,,The type of the other thing (e.g. what object was it?),6.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,"I listened to an audio description of a scene, briefly imagined it and sorted statements associated with the description of the imagined scene.",The color of the object.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,,,The size of the dropped thing,The trajectory of the dropped thing,1.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),5.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,"Listen to an audio file and imagine a scenario, then report what aspects of the imagined scenario were present in my thoughts",The apparent material of the dropped thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,3.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,The color of the pushed thing,6.0,,The color of the other thing,5.0,,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,imagining pushing one item with another item,the direction of which the object is being pushed,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the dropped thing,8.0,,The trajectory of the dropped thing,5.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),7.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the dropped thing,6.0,,The color of the other thing,4.0,,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,Imagine a thing dropped by another thing. ,The placement of the thing ,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),2.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,1.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,to imagine something being pushed by another thing,the weight of the pushed thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),4.0,,The color of the pushed thing,6.0,,The color of the other thing,5.0,,The apparent material of the pushed thing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,I was asked to imagine something and then add things from a list to another list about aspects of what I was asked to imagine.,The color of the other thing. ,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the dropped thing,4.0,,The trajectory of the dropped thing,3.0,,A person who dropped the thing,1.0,,The type of the thing being dropped (e.g. what object was it?),2.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,imagine the instructions given of an imagery,a person dropping something,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),2.0,,,,The size of the pulled thing,The trajectory of the pulled thing,5.0,,A person who pulled the thing,6.0,,The type of the thing being pulled (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,4.0,,Pull,500ms,to imagine a scene for a very short time,the location of the pulled thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the pulled thing,4.0,,The trajectory of the pulled thing,3.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),5.0,,,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,6.0,,Pull,2000ms,"I listend to a prompt and then created a mental image of it, and then I ranked some choices as related to the mental image",The color of the thing,,2.0,1.0,3.0,1.0
