CognitiveResource,log_likelihood,AIC,ParticipantID,Model,ExpansionProb
1.0,-53.1419806628364,108.2839613256728,1,Deterministic BFS,
1.0,-52.14198085556535,106.2839617111307,1,Deterministic DFS,
1.0,-71.41043234592594,146.82086469185188,1,Probabilistic BFS,0.5
1.0,-61.01485980135169,126.02971960270338,1,Probabilistic DFS,0.5
1.0,-98.04354323961311,198.08708647922623,2,Deterministic BFS,
1.0,-77.24830937729206,156.49661875458412,2,Deterministic DFS,
1.0,-32.885837685715416,69.77167537143083,2,Probabilistic BFS,0.5
1.0,-98.12051593149027,200.24103186298055,2,Probabilistic DFS,0.5
